generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,53,9.763345499035684e-05,0.00012637256751296555,0.00011033471636817983,6.610346248691022e-06
1,60,0.00010108721705405057,0.00012637256751296555,0.0001115732581523995,7.300417971343012e-06
2,58,0.00010108721705405057,0.00012637256751296555,0.00011259207179438765,6.70114660886307e-06
3,56,0.00010108721705405057,0.00012637256751296555,0.00011244494662875773,7.446709141132122e-06
4,58,0.00010108721705405057,0.00012637256751296555,0.00011240840244701334,7.165722099021622e-06
5,43,0.00010162957359372834,0.00012637256751296555,0.00011309404085305329,5.85846667171263e-06
6,53,0.00010162957359372834,0.00012637256751296555,0.0001127881382977381,6.291169145776587e-06
7,60,0.00010162957359372834,0.00012637256751296555,0.00011252931477643289,6.720428076787392e-06
8,66,0.00010162957359372834,0.00012637256751296555,0.00011288018957171132,6.428666552497683e-06
9,52,0.00010162957359372834,0.00012637256751296555,0.00011172117482676183,6.592559145563036e-06
10,63,0.00010162957359372834,0.00012637256751296555,0.00011075871693967095,7.26738012190599e-06
11,44,0.00010162957359372834,0.00012637256751296555,0.0001126287702545101,6.935246531069992e-06
12,52,0.00010162957359372834,0.00012637256751296555,0.00011415305326787082,7.0516488394479044e-06
13,58,0.00010162957359372834,0.00012637256751296555,0.00011347285874826881,6.569328253442217e-06
14,48,0.00010162957359372834,0.00012637256751296555,0.00011435517876745554,7.626459942221253e-06
15,57,0.00010162957359372834,0.00012637256751296555,0.00011470303436580873,7.313303756755467e-06
16,50,0.00010162957359372834,0.00012637256751296555,0.00011454936593333577,6.7149510081927096e-06
17,66,0.00010162957359372834,0.00012637256751296555,0.0001146462587566657,6.072040456055286e-06
18,58,0.00010162957359372834,0.00012637256751296555,0.00011500867105185499,5.805187873873254e-06
19,60,0.00010962995643392444,0.00012637256751296555,0.00011502806379717614,5.493293924964742e-06
20,56,0.00010962995643392444,0.00012637256751296555,0.00011486016028364314,5.39825504379579e-06
21,46,0.00010962995643392444,0.00012637256751296555,0.00011436774833488389,4.623092656885241e-06
22,59,0.00010962995643392444,0.00012637256751296555,0.00011479116133604848,4.92266926446136e-06
23,56,0.00010962995643392444,0.00012637256751296555,0.00011509823137685449,5.205968783617557e-06
24,58,0.00010962995643392444,0.00012637256751296555,0.00011523773129882905,5.578039761844686e-06
25,59,0.00010962995643392444,0.00012637256751296555,0.00011616280122158133,6.128201030988224e-06
26,46,0.00010962995643392444,0.00012637256751296555,0.00011605727077457896,6.52310095703976e-06
27,64,0.00010962995643392444,0.00012637256751296555,0.00011607912758662408,6.4855137189239435e-06
28,54,0.00010962995643392444,0.00012637256751296555,0.00011585763439103539,6.418198630017173e-06
29,54,0.00010962995643392444,0.00012637256751296555,0.00011579148270936406,6.254285055780662e-06
30,50,0.00010962995643392444,0.00012637256751296555,0.00011584718953917207,6.197467234230727e-06
31,62,0.00010962995643392444,0.00012637256751296555,0.00011647656711450882,6.2621576521811194e-06
32,56,0.00010962995643392444,0.00012637256751296555,0.00011650880277467297,6.402374985315064e-06
33,56,0.00010962995643392444,0.00012637256751296555,0.00011730030518149709,6.756277755444732e-06
34,48,0.00010962995643392444,0.00012637256751296555,0.0001171978039461494,6.667684918870265e-06
35,56,0.00010962995643392444,0.00012637256751296555,0.00011846619319284832,6.887230876164397e-06
36,59,0.00010962995643392444,0.00012637256751296555,0.00011953511109278207,6.9328067588784995e-06
37,54,0.00010962995643392444,0.00012637256751296555,0.00011909702350289622,6.9750167360111654e-06
38,67,0.00011157437810239423,0.00012637256751296555,0.00011992922163493363,6.8351182926094655e-06
39,67,0.00011157437810239423,0.00012637256751296555,0.00011998980857205155,6.777632712338234e-06
40,55,0.00011196085121256405,0.00012637256751296555,0.0001208518430988752,6.654279009768264e-06
41,61,0.00011196085121256405,0.00012637256751296555,0.00012065302400623217,6.861417906209006e-06
42,61,0.00011196085121256405,0.00012637256751296555,0.00012059243706911426,6.92401306742447e-06
43,52,0.00011196085121256405,0.00012637256751296555,0.00012117895381555438,6.740276295797239e-06
44,56,0.00011196085121256405,0.00012637256751296555,0.00012164174795841216,6.644605269778902e-06
45,58,0.00011196085121256405,0.00012637256751296555,0.00012144709195271433,6.7282030188604186e-06
46,60,0.00011196085121256405,0.00012637256751296555,0.00012092116214339213,6.870115769159619e-06
47,48,0.00011196085121256405,0.00012637256751296555,0.00012090410386210278,6.882421739979407e-06
48,50,0.00011196085121256405,0.00012637256751296555,0.00012003239069721338,7.0180006927598825e-06
49,64,0.00011196085121256405,0.00012637256751296555,0.00012161018012517996,6.678920920698354e-06
50,60,0.00011196085121256405,0.00012637256751296555,0.00012018351804708267,7.0251241094216055e-06
51,62,0.00011196085121256405,0.00012637256751296555,0.00011950646088789117,7.049400075122051e-06
52,66,0.00011196085121256405,0.00012637256751296555,0.00012042170270860908,6.931248000281614e-06
53,53,0.00011196085121256405,0.00012637256751296555,0.00012129341587349847,6.743801399329937e-06
54,62,0.00011196085121256405,0.00012637256751296555,0.0001212643967696128,6.781296055801333e-06
55,50,0.00011196085121256405,0.00012637256751296555,0.000121336944529327,6.686929122018672e-06
56,64,0.00011196085121256405,0.00012637256751296555,0.00012201400168851855,6.472608771438711e-06
57,52,0.00011196085121256405,0.00012637256751296555,0.00012145905277531066,6.7036680223438345e-06
58,58,0.00011196085121256405,0.00012637256751296555,0.00012249640284201223,6.299519088343819e-06
59,58,0.00011196085121256405,0.00012637256751296555,0.0001221651290383879,6.433952758772009e-06
60,54,0.00011196085121256405,0.00012637256751296555,0.00012255444104978364,6.206852013151251e-06
61,64,0.00011196085121256405,0.00012637256751296555,0.00012235978504408578,6.324418626892705e-06
62,63,0.00011196085121256405,0.00012637256751296555,0.00012215061948644504,6.455603333966238e-06
63,61,0.00011196085121256405,0.00012637256751296555,0.00012212160038255933,6.498590912630936e-06
64,58,0.00011196085121256405,0.00012637256751296555,0.00012243836463424082,6.390315540608337e-06
65,72,0.00011196085121256405,0.00012637256751296555,0.00012188341572103294,6.659702160404405e-06
66,59,0.00011196085121256405,0.00012637256751296555,0.00012240934553035514,6.435037091223764e-06
67,62,0.00011196085121256405,0.00012637256751296555,0.00012312993134537523,6.018078031841853e-06
68,57,0.00011196085121256405,0.00012637256751296555,0.00012349022425288528,5.764686520157969e-06
69,44,0.00011196085121256405,0.00012637256751296555,0.00012312993134537523,6.018078031841853e-06
70,54,0.00011196085121256405,0.00012637256751296555,0.00012349022425288525,5.764686520158544e-06
71,56,0.00011196085121256405,0.00012637256751296555,0.00012439095652166035,4.963026627327215e-06
72,57,0.00011196085121256405,0.00012637256751296555,0.00012457110297541536,4.766227162056833e-06
73,53,0.00011196085121256405,0.00012637256751296555,0.00012457110297541536,4.766227162056833e-06
74,64,0.00011196085121256405,0.00012637256751296555,0.0001240306636141503,5.316609889884154e-06
75,58,0.00011196085121256405,0.00012637256751296555,0.00012349022425288528,5.764686520157682e-06
76,60,0.00011196085121256405,0.00012637256751296555,0.00012439095652166035,4.963026627327215e-06
77,56,0.00011196085121256405,0.00012637256751296555,0.00012439095652166035,4.963026627327215e-06
78,53,0.00011196085121256405,0.00012637256751296555,0.0001240306636141503,5.316609889884466e-06
79,58,0.00011196085121256405,0.00012637256751296555,0.0001247512494291704,4.55382300133575e-06
80,56,0.00011196085121256405,0.00012637256751296555,0.00012547183524419045,3.4885210763532394e-06
81,60,0.00011196085121256405,0.00012637256751296555,0.0001247512494291704,4.55382300133575e-06
82,56,0.00011196085121256405,0.00012637256751296555,0.0001247512494291704,4.55382300133575e-06
83,55,0.00011196085121256405,0.00012637256751296555,0.0001247512494291704,4.55382300133575e-06
84,50,0.00011196085121256405,0.00012637256751296555,0.0001258321281517005,2.737989052002966e-06
85,61,0.00011196085121256405,0.00012637256751296555,0.0001258321281517005,2.737989052002966e-06
86,58,0.00011196085121256405,0.00012637256751296555,0.0001260122746054555,2.2500284862312246e-06
87,52,0.00012637256751296555,0.00012637256751296555,0.00012637256751296555,5.752149554916067e-12
88,56,0.00012637256751296555,0.00012637256751296555,0.00012637256751296555,5.752149554916067e-12
89,55,0.00012637256751296555,0.00012637256751296555,0.00012637256751296555,5.752149554916067e-12
90,52,0.00012637256751296555,0.00012637256751296555,0.00012637256751296555,5.752149554916067e-12
